"Rel","Winner","WinnerPriority","TosaMarkers","WinnerMarkers","Owners"
"game\components\inventoryComponent.ws","mod0000_MergedFiles","1","145","132","mod0000_MergedFiles:1, modW3EE:21, modShadesOfIron:34, modBrothersInArms:53, modexpansionzero:228"
"game\gameplay\ability\PlayerAbilityManager.ws","modW3EE","21","160","126","modW3EE:21, modExtraSkillSlotsNextGen:213, modexpansionzero:228"
"game\gameplay\containers\container.ws","modW3EE","21","5","4","modW3EE:21, modexpansionzero:228"
"game\gameplay\damage\damageManagerProcessor.ws","modNobsReflex","18","68","78","modNobsReflex:18, modW3EE:21, modexpansionzero:228"
"game\gameplay\effects\effectManager.ws","modW3EE","21","24","5","modW3EE:21, modexpansionzero:228"
"game\gameplay\effects\effects\other\repairObjectEnhancement.ws","modW3EE","21","2","0","modW3EE:21, modexpansionzero:228"
"game\gameplay\effects\effects\other\wellFed.ws","modW3EE","21","2","0","modW3EE:21, modexpansionzero:228"
"game\gameplay\effects\effectTypes.ws","modNobsReflex","18","49","47","modNobsReflex:18, modW3EE:21, modIcyOcean:176, modexpansionzero:228"
"game\gameplay\effects\gameEffectManager.ws","modNobsReflex","18","302","102","modNobsReflex:18, modW3EE:21, modIcyOcean:176, modexpansionzero:228"
"game\gameplay\items\throwables\throwable.ws","modAMM","15","6","0","modAMM:15, modW3EE:21, modexpansionzero:228"
"game\gameplay\leveling\levelManager.ws","modW3EE","21","2","0","modW3EE:21, modexpansionzero:228"
"game\gui\_old\components\guiPlayerInventoryComponent.ws","mod0_E3HUD_W3EER_NG","8","5","4","mod0_E3HUD_W3EER_NG:8, modW3EE:21, modexpansionzero:228"
"game\gui\_old\components\guiTooltipComponent.ws","modW3EE","21","113","111","modW3EE:21, modShadesOfIron:34, modexpansionzero:228"
"game\gui\hud\modules\hudModuleRadialMenu.ws","mod0_E3HUD_W3EER_NG","8","3","0","mod0_E3HUD_W3EER_NG:8, modBetterIcons2025_NextGen_W3EE:11, modW3EE:21, modexpansionzero:228"
"game\gui\inventoryContext.ws","modW3EE","21","7","4","modW3EE:21, modexpansionzero:228"
"game\gui\main_menu\ingameMenu.ws","modW3EE","21","10","1","modW3EE:21, modFriendlyMeditation:203, modexpansionzero:228"
"game\gui\main_menu\ingamemenu\igmOptions.ws","modW3EE","21","8","4","modW3EE:21, modexpansionzero:228"
"game\gui\main_menu\ingamemenu\igmStructureCreator.ws","modW3EE","21","5","2","modW3EE:21, modexpansionzero:228"
"game\gui\menus\characterMenu.ws","modNobsToolTipHandaler","17","147","155","modNobsToolTipHandaler:17, modW3EE:21, modExtraSkillSlotsNextGen:213, modexpansionzero:228"
"game\gui\menus\craftingMenu.ws","modBetterIcons2025_NextGen_W3EE","11","3","10","modBetterIcons2025_NextGen_W3EE:11, modW3EE:21, modUnreadSchematicsAndRecipes:155, modexpansionzero:228"
"game\gui\menus\gwintManager.ws","modGwentRedux","3","398","344","modGwentRedux:3, modexpansionzero:228"
"game\gui\menus\inventoryMenu.ws","mod0_E3HUD_W3EER_NG","8","38","41","mod0_E3HUD_W3EER_NG:8, modW3EE:21, modShadesOfIron:34, modexpansionzero:228"
"game\gui\popups\CharacterStatsPopup.ws","modW3EE","21","37","67","modW3EE:21, modexpansionzero:228"
"game\npc\npc.ws","mod0000_MergedFiles","1","27","16","mod0000_MergedFiles:1, modNobsReflex:18, modW3EE:21, modEnableMimics_blinking:172, modexpansionzero:228"
"game\player\player.ws","modW3EE","21","4","2","modW3EE:21, modEnableMimics_blinking:172, modexpansionzero:228"
"game\player\playerInput.ws","modNobsReflex","18","45","42","modNobsReflex:18, modW3EE:21, modCapeHoodHelmetToggle:39, modFriendlyMeditation:203, modexpansionzero:228"
"game\player\playerTypes.ws","modW3EE","21","86","80","modW3EE:21, modexpansionzero:228"
"game\player\playerWitcher.ws","mod0000_MergedFiles","1","396","376","mod0000_MergedFiles:1, mod00AMMW3EEReduxNG139b:13, modAMM:15, modNobsReflex:18, modW3EE:21, modFriendlyMeditation:203, modExtraSkillSlotsNextGen:213, modexpansionzero:228"
"game\player\r4Player.ws","mod0000_MergedFiles","1","143","147","mod0000_MergedFiles:1, modW3EE:21, modCapeHoodHelmetToggle:39, modIcyOcean:176, modFriendlyMeditation:203, modexpansionzero:228"
"game\player\states\combat.ws","modW3EE","21","15","20","modW3EE:21, modexpansionzero:228"
"game\player\states\exploration.ws","modW3EE","21","11","0","modW3EE:21, modexpansionzero:228"
"game\player\states\unconscious.ws","modW3EE","21","29","19","modW3EE:21, modexpansionzero:228"
"game\vehicles\horse\horseManager.ws","modAMM","15","4","0","modAMM:15, modW3EE:21, modexpansionzero:228"
"local\customDyeing.ws","mod__hoods","32","0","0","mod__hoods:32, modexpansionzero:228"
"local\effects\vitalityRaise.ws","modexpansionzero","228","0","0","modexpansionzero:228, modVernaShrine_Everlasting:229"
